filename,doi,guest_molecule,KD_A,PLD_A,guest_composition,zeolite_name,std_zeolite_name,si_al_ratio,modified_ion,loading_value,loading_unit,diffusion_coefficient_value,diffusion_coefficient_unit,temperature_value,temperature_unit,concentration_value,concentration_unit,adsorption_loading_value,adsorption_loading_unit,pressure_value,pressure_unit,experimental_method,distinguishing_variable,method_type,method_category
10.1016_j.micromeso.2023.112596_SI,10.1016/j.micromeso.2023.112596,toluene,5.85,7.4,,S-1170,FAU-NaX,,,,,1.02E-12,m2/s,,K,1.5,mg/L,,,,,Fixed-bed dynamic adsorption,particle_size: 1170 nm,Experimental,Column Dynamics
10.1016_j.micromeso.2023.112596,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-1170,MFI,,,,,1.02E-12,m2/s,,K,,,,,,,dynamic adsorption (intra-particle diffusion model),,Experimental,Uptake/Release
10.1016_s0009-2509(99)00189-x,10.1016/s0009-2509(99)00189-x,benzene,5.35,4.7,,silicalite,MFI,>20000,,,,1.03E-12,m2/s,355,K,,,,,0.0034,bar,ZLC,"model: Eq.20 variable shape; fit_type: full-time; F: 10,15,20 ml/min",Experimental,ZLC
10.1016_s0009-2509(99)00189-x,10.1016/s0009-2509(99)00189-x,benzene,5.35,4.7,,silicalite,MFI,>20000,,,,1.05E-12,m2/s,355,K,,,,,0.0034,bar,ZLC,"model: Eq.19 size distribution + apparatus; fit_type: full-time; F: 10,15,20 ml/min",Experimental,ZLC
10.1016_j.seppur.2015.02.033,10.1016/j.seppur.2015.02.033,water,2.65,4.1,,4A,LTA-Na,,,,,1.05E-12,m2/s,298,K,2014,mol/L,,,1,bar,Breakthrough curve fitting,,Experimental,Column Dynamics
10.1016_j.seppur.2015.02.033,10.1016/j.seppur.2015.02.033,water,2.65,4.1,,4A,LTA-Na,,,,,1.05E-12,m2/s,298,K,,,,,1,bar,Breakthrough curve fitting,source: Table 4,Experimental,Column Dynamics
10.1016_s0040-6031(99)00280-4,10.1016/s0040-6031(99)00280-4,"magnesium, ammonium",,3.1,,clinoptilolite,HEU,,,,,1.06E-12,m2/s,298,K,0.1,mol/L,,,,,ion exchange kinetics,analysis_method: BBK,Experimental,Uptake/Release
10.3390_catal16030230,10.3390/catal16030230,"ethene, propene, butene, pentene, hexene, heptene, octene",,4.7,equimolar,H-ZSM-5,MFI-H,76,,,,1.06E-12,m2/s,923,K,,,35,molecules/supercell,,,Molecular Dynamics,measured_species: C7H14,Computational,MD
10.1016_j.micromeso.2023.112596_SI,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-180,MFI,,,,,1.07E-12,m2/s,,K,1.5,mg/L,,,,,Fixed-bed dynamic adsorption,particle_size: 180 nm,Experimental,Column Dynamics
10.1016_s0009-2509(99)00189-x,10.1016/s0009-2509(99)00189-x,ethylbenzene,6,4.7,,silicalite,MFI,>20000,,,,1.07E-12,m2/s,375,K,,,,,0.0013,bar,ZLC,"model: Eq.20 variable shape; fit_type: full-time; F: 10,15,20 ml/min",Experimental,ZLC
10.1016_j.micromeso.2023.112596,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-180,MFI,,,,,1.07E-12,m2/s,,K,,,,,,,dynamic adsorption (intra-particle diffusion model),,Experimental,Uptake/Release
10.1016_j.micromeso.2023.112596,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-130,MFI,,,,,1.07E-12,m2/s,,K,,,,,,,dynamic adsorption (intra-particle diffusion model),,Experimental,Uptake/Release
10.1016_j.micromeso.2023.112596_SI,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-130,MFI,,,,,1.07E-12,m2/s,,K,1.5,mg/L,,,,,Fixed-bed dynamic adsorption,particle_size: 130 nm,Experimental,Column Dynamics
10.1016_j.micromeso.2023.112596,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-70,MFI,,,,,1.08E-12,m2/s,,K,,,,,,,dynamic adsorption (intra-particle diffusion model),,Experimental,Uptake/Release
10.1016_j.micromeso.2023.112596_SI,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-70,MFI,,,,,1.08E-12,m2/s,,K,1.5,mg/L,,,,,Fixed-bed dynamic adsorption,particle_size: 70 nm,Experimental,Column Dynamics
10.1016_j.micromeso.2009.01.025,10.1016/j.micromeso.2009.01.025,"1,4-dimethylbenzene",5.8,4.7,,H-ZSM-5,MFI-H,45,,,,1.09E-12,m2/s,676,K,,,1.09,molec/u.c.,0.0003,bar,Frequency Response,"model: dual process, constant PSD=1.49e-6 m; component: D1",Experimental,FR
10.1016_j.micromeso.2009.01.025,10.1016/j.micromeso.2009.01.025,toluene,5.85,4.7,,H-ZSM-5,MFI-H,45,,,,1.10E-12,m2/s,676,K,,,0.66,molec/u.c.,0.0003,bar,Frequency Response,"model: dual process, constant PSD=1.49e-6 m; component: D1",Experimental,FR
10.1016_j.micromeso.2013.06.038,10.1016/j.micromeso.2013.06.038,methane,3.8,3.65,,DDR I,DDR,,,,,1.10E-12,m2/s,298,K,,,2.89,molecules/unit cell,0.8,bar,Interference Microscopy (IFM),method: integral uptake curve fitting,Experimental,Microimaging
10.1016_j.micromeso.2013.06.038,10.1016/j.micromeso.2013.06.038,methane,3.8,3.65,,DDR II,DDR,1662,,,,1.10E-12,m2/s,298,K,,,2.89,molecules/unit cell,0.8,bar,Interference Microscopy (IFM),method: integral uptake curve fitting,Experimental,Microimaging
10.1016_s1387-1811(99)00229-2,10.1016/s1387-1811(99)00229-2,ethylbenzene,6,4.7,,Silicalite-1 (B),MFI,,,,,1.10E-12,m2/s,415,K,,,0.81,molecules/unit cell,0.00133,bar,Frequency Response,,Experimental,FR
10.1016_j.heliyon.2019.e02143,10.1016/j.heliyon.2019.e02143,copper,,3.1,,clinoptilolite,HEU,,,,,1.10E-12,m2/s,298,K,0.01,mol/L,,,,,batch adsorption kinetics with HSDM,run: Cu; diffusivity_type: Ds; particle_size: 1.18-1.4 mm; solid_mass: 20 g,Experimental,Uptake/Release
10.1039_c8ra07434h,10.1039/c8ra07434h,methyl oleate,,4.7,,R_D_NH3/TPAOH,MFI,,,,,1.10E-12,m2/s,298,K,,,,,,,PFG-NMR,diffusion_component: D3; diffusion_time: 160 ms,Experimental,PFG NMR
10.1039_d4cy00321g,10.1039/d4cy00321g,3-methylphenol,6.0,4.7,,H-ZSM5,MFI-H,,,,,1.10E-12,m2/s,653,K,,,10,wt%,,,Molecular Dynamics,,Computational,MD
10.3390_pr14030542,10.3390/pr14030542,methane,3.8,3.8,,NaCHA,CHA-Na,,,,,1.11E-12,m2/s,303,K,,,,,1,bar,Molecular Dynamics,relative_humidity: 20%,Computational,MD
10.1016_s0009-2509(99)00189-x,10.1016/s0009-2509(99)00189-x,ethylbenzene,6,4.7,,silicalite,MFI,>20000,,,,1.12E-12,m2/s,375,K,,,,,0.0013,bar,ZLC,"model: Eq.16 uniform slabs; fit_type: full-time; F: 10,15,20 ml/min",Experimental,ZLC
10.1016_j.micromeso.2009.01.025,10.1016/j.micromeso.2009.01.025,benzene,5.35,4.7,,H-ZSM-5,MFI-H,45,,,,1.12E-12,m2/s,676,K,,,0.34,molec/u.c.,0.0003,bar,Frequency Response,"model: dual process, constant PSD=1.49e-6 m; component: D1",Experimental,FR
10.1016_j.micromeso.2009.01.025_SI,10.1016/j.micromeso.2009.01.025,benzene,5.35,4.7,,H-ZSM-5,MFI-H,45,,,,1.12E-12,m2/s,676,K,,,0.34,molecules/unit cell,0.0003,bar,Frequency Response,process: D1,Experimental,FR
10.1016_s0009-2509(99)00189-x,10.1016/s0009-2509(99)00189-x,benzene,5.35,4.7,,silicalite,MFI,>20000,,,,1.14E-12,m2/s,355,K,,,,,0.0034,bar,ZLC,"model: Eq.17 size distribution; fit_type: full-time; F: 10,15,20 ml/min",Experimental,ZLC
10.1016_s0009-2509(99)00189-x,10.1016/s0009-2509(99)00189-x,ethylbenzene,6,4.7,,silicalite,MFI,>20000,,,,1.14E-12,m2/s,375,K,,,,,0.0013,bar,ZLC,"model: Eq.19 size distribution + apparatus; fit_type: full-time; F: 10,15,20 ml/min",Experimental,ZLC
10.1016_s0009-2509(99)00189-x,10.1016/s0009-2509(99)00189-x,ethylbenzene,6,4.7,,silicalite,MFI,>20000,,,,1.15E-12,m2/s,375,K,,,,,0.0013,bar,ZLC,"model: Eq.17 size distribution; fit_type: full-time; F: 10,15,20 ml/min",Experimental,ZLC
10.1016_s0009-2509(99)00189-x,10.1016/s0009-2509(99)00189-x,ethylbenzene,6,4.7,,silicalite,MFI,>20000,,,,1.15E-12,m2/s,375,K,,,,,0.0013,bar,ZLC,"model: Eq.17 size distribution; fit_type: long-time; F: 10,15,20 ml/min",Experimental,ZLC
10.1016_s0009-2509(99)00189-x,10.1016/s0009-2509(99)00189-x,ethylbenzene,6,4.7,,silicalite,MFI,>20000,,,,1.15E-12,m2/s,375,K,,,,,0.0013,bar,ZLC,"model: Eq.19 size distribution + apparatus; fit_type: long-time; F: 10,15,20 ml/min",Experimental,ZLC
10.1016_j.cattod.2005.12.006,10.1016/j.cattod.2005.12.006,ethanol,4.3,4.1,,NaA,LTA-Na,,,,,1.15E-12,m2/s,333,K,,,,,,,Pervaporation,source: text,Experimental,Membrane Permeation
10.1016_j.micromeso.2007.04.036,10.1016/j.micromeso.2007.04.036,krypton,3.6,3.65,,DDR,DDR,,,,,1.15E-12,m2/s,,K,,,,,,,Molecular Dynamics,,Computational,MD
10.1016_j.cherd.2025.12.013,10.1016/j.cherd.2025.12.013,methane,3.8,3.8,,SSZ-13,CHA-H,,,,,1.15E-12,m2/s,293,K,,,,,,,Membrane permeation,,Experimental,Membrane Permeation
10.1016_j.cattod.2005.12.006,10.1016/j.cattod.2005.12.006,ethanol,4.3,4.1,,NaA,LTA-Na,,,,,1.17E-12,m2/s,333,K,,,,,,,Pervaporation,source: Table 4,Experimental,Membrane Permeation
10.1016_j.cattod.2005.12.006,10.1016/j.cattod.2005.12.006,ethanol,4.3,4.1,,NaA,LTA-Na,,,,,1.17E-12,m2/s,333,K,,,,,,,Pervaporation,source: Table 6,Experimental,Membrane Permeation
10.1016_j.micromeso.2022.112216,10.1016/j.micromeso.2022.112216,cyclohexanecarboxylic acid,6.5,4.7,,ME-ZSM-5,MFI-ME,30,,,,1.17E-12,m2/s,298,K,1000,mol/L,195.5,mg/g,,,Batch adsorption kinetics (LDF model),,Experimental,Uptake/Release
10.1016_j.molcata.2009.07.015,10.1016/j.molcata.2009.07.015,"1,4-dimethylbenzene",5.8,7,C_p-x = 50%,H-CIT-1,CON,35,,,,1.20E-12,m2/s,425,K,,,,,6.70E-05,bar,FTIR,diffusion_mode: counterdiffusion; counterdiffusion_type: p+o-xylene,Experimental,Microimaging
10.1016_j.seppur.2015.02.033,10.1016/j.seppur.2015.02.033,water,2.65,4.1,,4A,LTA-Na,,,,,1.20E-12,m2/s,298,K,2012,mol/L,,,1,bar,Breakthrough curve fitting,,Experimental,Column Dynamics
10.1016_j.seppur.2015.02.033,10.1016/j.seppur.2015.02.033,water,2.65,4.1,,4A,LTA-Na,,,,,1.20E-12,m2/s,298,K,,,,,1,bar,Breakthrough curve fitting,source: Table 4,Experimental,Column Dynamics
10.1016_j.cej.2024.157101,10.1016/j.cej.2024.157101,carbon dioxide,3.3,3.8,,Na-CHA-M,CHA-Na,2.1,,,,1.20E-12,m2/s,600,K,,,196,molecules/27 unit cells,,,Molecular Dynamics,,Computational,MD
10.1016_s1387-1811(99)00229-2,10.1016/s1387-1811(99)00229-2,toluene,5.85,4.7,,Silicalite-1 (B),MFI,,,,,1.20E-12,m2/s,395,K,,,0.95,molecules/unit cell,0.00133,bar,Frequency Response,,Experimental,FR
10.1039_c8ra07434h,10.1039/c8ra07434h,methyl oleate,,4.7,,R_D_NH3/TPAOH,MFI,,,,,1.20E-12,m2/s,298,K,,,,,,,PFG-NMR,diffusion_component: D3; diffusion_time: 8 ms,Experimental,PFG NMR
10.1039_c8ra07434h,10.1039/c8ra07434h,methyl oleate,,4.7,,R_D_NH3/TPAOH,MFI,,,,,1.20E-12,m2/s,298,K,,,,,,,PFG-NMR,diffusion_component: D3; diffusion_time: 18 ms,Experimental,PFG NMR
10.1016_j.ces.2024.120183_SI,10.1016/j.ces.2024.120183,Benzene,5.35,4.7,,Micro-Z5,MFI-H,18.94,,,,1.20E-12,m2/s,673,K,,,,,,,Molecular Dynamics,source_table: Table S5,Computational,MD
10.1016_s0009-2509(99)00189-x,10.1016/s0009-2509(99)00189-x,benzene,5.35,4.7,,silicalite,MFI,>20000,,,,1.22E-12,m2/s,355,K,,,,,0.0034,bar,ZLC,"model: Eq.16 uniform slabs; fit_type: full-time; F: 10,15,20 ml/min",Experimental,ZLC
10.1016_j.micromeso.2022.112216,10.1016/j.micromeso.2022.112216,cyclohexanecarboxylic acid,6.5,4.7,,ME-ZSM-5,MFI-ME,30,,,,1.22E-12,m2/s,298,K,500,mol/L,140.1,mg/g,,,Batch adsorption kinetics (LDF model),,Experimental,Uptake/Release
10.1016_s0040-6031(99)00280-4,10.1016/s0040-6031(99)00280-4,"potassium, sodium",,3.1,,clinoptilolite,HEU,,,,,1.24E-12,m2/s,298,K,0.1,mol/L,,,,,ion exchange kinetics,analysis_method: BBK,Experimental,Uptake/Release
10.1002_jctb.5550,10.1002/jctb.5550,ammonium,2.86,,,NZ1,zeolite,,,,,1.24E-12,m2/s,295,K,864,mol/L,19.4,mg N-NH4/g,,,batch uptake kinetics (HPDM/SPM fitting),model: HPDM; parameter: Df from -ln(1-X^2),Experimental,Uptake/Release
10.1016_j.micromeso.2023.112596_SI,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-130-AT,MFI,,,,,1.26E-12,m2/s,,K,1.5,mg/L,,,,,Fixed-bed dynamic adsorption,mesopore_introduction: alkali treatment,Experimental,Column Dynamics
10.1016_j.jcat.2008.06.015,10.1016/j.jcat.2008.06.015,(propan-2-yl)benzene,6.8,4.7,,AZ5-1,MFI,14.5,,,,1.26E-12,m2/s,308,K,,,,,0.0002,bar,Gravimetric uptake (IGA),mode: desorption,Experimental,Uptake/Release
10.1016_s0040-6031(99)00280-4,10.1016/s0040-6031(99)00280-4,"ammonium, calcium",,3.1,,clinoptilolite,HEU,,,,,1.26E-12,m2/s,298,K,0.1,mol/L,,,,,ion exchange kinetics,analysis_method: CH,Experimental,Uptake/Release
10.1016_j.micromeso.2023.112596,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-130-AT,MFI,,,,,1.26E-12,m2/s,,K,,,,,,,dynamic adsorption (intra-particle diffusion model),,Experimental,Uptake/Release
10.1016_j.catcom.2022.106461,10.1016/j.catcom.2022.106461,ethene,3.9,3.8,,CHA chabazite,CHA,,,,,1.27E-12,m2/s,773,K,,,,,,,Molecular Dynamics,coke_species: pyrene,Computational,MD
10.3390_pr14030542,10.3390/pr14030542,methane,3.8,3.8,,HCHA,CHA-H,,,,,1.27E-12,m2/s,303,K,,,,,1,bar,Molecular Dynamics,relative_humidity: 60%,Computational,MD
10.1016_j.micromeso.2023.112596,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-170-MF,MFI,,,,,1.28E-12,m2/s,,K,,,,,,,dynamic adsorption (intra-particle diffusion model),,Experimental,Uptake/Release
10.1016_j.micromeso.2023.112596_SI,10.1016/j.micromeso.2023.112596,toluene,5.85,4.7,,S-170-MF,MFI-H,,,,,1.28E-12,m2/s,,K,1.5,mg/L,,,,,Fixed-bed dynamic adsorption,mesopore_introduction: mesoporogen-free method; particle_size: 170 nm,Experimental,Column Dynamics
10.1016_j.seppur.2014.06.030,10.1016/j.seppur.2014.06.030,water,2.65,4.1,,4A,LTA-Na,,,,,1.30E-12,m2/s,293,K,1109,mol/L,,,,,Breakthrough curve fitting,run: 5e; series: inlet concentration variation; zeolite: 4A,Experimental,Column Dynamics
10.1016_j.micromeso.2022.111910,10.1016/j.micromeso.2022.111910,"1,2-dimethylbenzene",6.8,4.7,,BAS/Cu+-HZSM-5,MFI-Cu,23,Cu+,,,1.30E-12,m2/s,500,K,,,6,molecules/unit cell,,,Molecular Dynamics,,Computational,MD
apj.412,,butanol,5,3.1,,natural clinoptilolite,HEU,,,,,1.30E-12,m2/s,293,K,,,1.022,mmol/g,0.005546195,bar,gravimetric uptake (constant pressure static),particle_size: 1.8 mm; coefficient_type: apparent particle diffusivity,Experimental,Uptake/Release
10.1002_ceat.270110155,10.1002/ceat.270110155,argon,3.4,6.5,,Zeolon 900 H,MOR-H,,,,,1.30E-12,m2/s,348,K,,,,,,,Chromatography,"methanol_loading_fraction: 0.980; condition: with methanol, non-reacting",Experimental,Column Dynamics
10.1039_c8ra07434h,10.1039/c8ra07434h,methyl oleate,,4.7,,R_D_NH3/TPAOH,MFI,,,,,1.30E-12,m2/s,298,K,,,,,,,PFG-NMR,diffusion_component: D3; diffusion_time: 40 ms,Experimental,PFG NMR
10.1016_s0040-6031(99)00280-4,10.1016/s0040-6031(99)00280-4,"ammonium, calcium",,3.1,,clinoptilolite,HEU,,,,,1.31E-12,m2/s,298,K,0.1,mol/L,,,,,ion exchange kinetics,analysis_method: BBK,Experimental,Uptake/Release
10.1016_j.energy.2025.137012,10.1016/j.energy.2025.137012,ethylene oxide,,6.6,1:1:1:1:1,Fe2+-BEA,BEA-Fe2+,15,Fe2+,,,1.33E-12,m2/s,298,K,,,6,molecules/simulation cell,,,Molecular Dynamics,diffusion_system: multi-component,Computational,MD
10.1016_j.micromeso.2007.01.015,10.1016/j.micromeso.2007.01.015,toluene,5.85,4.7,,silicalite-1 (B),MFI,1338,,,,1.34E-12,m2/s,415,K,,,0.5,molecules/unit cell,,,Frequency Response (FR),diffusion_component: D01; process: diffusion along straight channel direction,Experimental,FR
10.1016_j.crci.2014.09.011,10.1016/j.crci.2014.09.011,uranyl(2+),,4.1,,4A,LTA-Na,1.03,,,,1.36E-12,m2/s,293,K,10,mol/L,0.912,mg/g,,,Batch adsorption kinetics (Fick's second law),,Experimental,Uptake/Release
10.1016_j.powtec.2022.118207,10.1016/j.powtec.2022.118207,iodobenzene,6.2,7.4,,Zeolite Y,FAU-NaY,,,,,1.40E-12,m2/s,353,K,0.0001,mol/L,,,,,ZLC,geometry: sphere; radius: 45 μm; diffusion_constant_type: fitted corrected,Experimental,ZLC
10.1016_j.seppur.2015.02.033,10.1016/j.seppur.2015.02.033,water,2.65,4.1,,3A,LTA-K,,,,,1.40E-12,m2/s,298,K,991,mol/L,,,1,bar,Breakthrough curve fitting,,Experimental,Column Dynamics
10.1016_j.micromeso.2011.12.025,10.1016/j.micromeso.2011.12.025,butane,4.3,4.1,,CaA (Yucel 1),LTA-Ca,1.04,Ca2+,5.46,per pseudo cell,1.40E-12,m2/s,295,K,,,,,,bar,Gravimetric uptake,diffusivity_type: D' (fully dehydrated); water_content: 1.1 mol/cage,Experimental,Uptake/Release
10.1016_j.micromeso.2007.01.015,10.1016/j.micromeso.2007.01.015,cyclopentane,5.3,4.7,,silicalite-1 (B),MFI,1338,,,,1.43E-12,m2/s,253,K,,,3.8,molecules/unit cell,,,Frequency Response (FR),diffusion_component: D01; process: faster diffusion process,Experimental,FR
10.1016_j.micromeso.2011.12.025,10.1016/j.micromeso.2011.12.025,butane,4.3,4.1,,CaA (Yucel 1),LTA-Ca,1.04,Ca2+,5.46,per pseudo cell,1.45E-12,m2/s,313,K,,,,,,bar,Gravimetric uptake,diffusivity_type: D' (fully dehydrated); water_content: 1.8 mol/cage,Experimental,Uptake/Release
10.3390_pr14030542,10.3390/pr14030542,ethane,4.0,3.8,,NaCHA,CHA-Na,,,,,1.45E-12,m2/s,303,K,,,,,1,bar,Molecular Dynamics,relative_humidity: 0%,Computational,MD
10.1016_j.micromeso.2007.01.015,10.1016/j.micromeso.2007.01.015,benzene,5.35,4.7,,silicalite-1 (B),MFI,1338,,,,1.46E-12,m2/s,303,K,,,5.6,molecules/unit cell,,,Frequency Response (FR),diffusion_component: D01; process: faster diffusion process,Experimental,FR
10.3390_pr14030542,10.3390/pr14030542,ethane,4.0,3.8,,HCHA,CHA-H,,,,,1.47E-12,m2/s,303,K,,,,,1,bar,Molecular Dynamics,relative_humidity: 20%,Computational,MD
10.3390_catal16030230,10.3390/catal16030230,"ethene, propene, butene, pentene, hexene, heptene, octene",,4.7,equimolar,H-ZSM-5,MFI-H,76,,,,1.50E-12,m2/s,923,K,,,35,molecules/supercell,,,Molecular Dynamics,measured_species: C8H16,Computational,MD
10.1016_s1387-1811(02)00394-3,10.1016/s1387-1811(02)00394-3,"1,4-dimethylbenzene",5.8,4.7,,silicalite-1,MFI-H,,,,,1.50E-12,m2/s,373,K,,,3.9,m./u.c.,,,Frequency Response,channel_direction: sinusoidal,Experimental,FR
10.1016_j.micromeso.2007.01.015,10.1016/j.micromeso.2007.01.015,"1,4-dimethylbenzene",5.8,4.7,,silicalite-1 (A),MFI,∞,,,,1.50E-12,m2/s,373,K,,,3.9,molecules/unit cell,,,Frequency Response (FR),diffusion_component: D02; process: diffusion along sinusoidal channel direction,Experimental,FR
10.1016_s1387-1811(99)00229-2,10.1016/s1387-1811(99)00229-2,toluene,5.85,4.7,,Silicalite-1 (B),MFI,,,,,1.50E-12,m2/s,373,K,,,2,molecules/unit cell,0.00133,bar,Frequency Response,diffusion_process: faster,Experimental,FR
10.1016_s1387-1811(99)00229-2,10.1016/s1387-1811(99)00229-2,"1,4-dimethylbenzene",5.8,4.7,,Silicalite-1 (A),MFI,,,,,1.50E-12,m2/s,373,K,,,3.9,molecules/unit cell,0.00253,bar,Frequency Response,diffusion_process: slower,Experimental,FR
10.3390_app12136694,10.3390/app12136694,methane,3.8,4.1,,zeolite 5A,LTA-Ca,1,,,,1.50E-12,m2/s,298,K,10,vol%,,,,,ZLC,,Experimental,ZLC
10.3390_pr14030542,10.3390/pr14030542,carbon dioxide,3.3,4.1,,CaLTA,LTA-Ca,,,,,1.50E-12,m2/s,303,K,,,,,1,bar,Molecular Dynamics,relative_humidity: 90%,Computational,MD
10.1016_j.jssc.2025.125421,10.1016/j.jssc.2025.125421,pyromellitic diimide,,4.7,,ZSM-5 (CAT-0),MFI-H,400,,,,1.51E-12,m2/s,298,K,1.00E-11,mol/L,,,1,bar,Single-molecule fluorescence microscopy,diffusion_type: actual effective (D_e'),Experimental,SMT
10.1039_d3va00078h,10.1039/d3va00078h,trichlorosilane,,6.4,,IFR,IFR,,,,,1.57E-12,m2/s,,K,,,1,molecules/cell,,,Molecular Dynamics,statistic: minimum,Computational,MD
10.3390_pr8111523,10.3390/pr8111523,mercury(2+),,3.1,,FeZ (iron-modified clinoptilolite-rich zeolite),HEU-Fe,,Fe,,,1.59E-12,m2/s,298,K,0.009933,mol/L,0.534,mmol/g,,,Adsorption Kinetics,model: Vermeulen's approximation,Experimental,Uptake/Release
10.1016_s0040-6031(99)00280-4,10.1016/s0040-6031(99)00280-4,"potassium, ammonium",,3.1,,clinoptilolite,HEU,,,,,1.60E-12,m2/s,298,K,0.1,mol/L,,,,,ion exchange kinetics,analysis_method: BBK,Experimental,Uptake/Release
10.1016_s0040-6031(99)00280-4,10.1016/s0040-6031(99)00280-4,"potassium, calcium",,3.1,,clinoptilolite,HEU,,,,,1.60E-12,m2/s,298,K,0.1,mol/L,,,,,ion exchange kinetics,analysis_method: CH,Experimental,Uptake/Release
10.1016_j.seppur.2014.06.030,10.1016/j.seppur.2014.06.030,water,2.65,4.1,,4A,LTA-Na,,,,,1.60E-12,m2/s,293,K,1653,mol/L,,,,,Breakthrough curve fitting,run: 5d; series: inlet concentration variation; zeolite: 4A,Experimental,Column Dynamics
10.1016_j.seppur.2015.02.033,10.1016/j.seppur.2015.02.033,water,2.65,4.1,,4A,LTA-Na,,,,,1.60E-12,m2/s,298,K,2008,mol/L,,,1,bar,Breakthrough curve fitting,,Experimental,Column Dynamics
10.1016_j.seppur.2015.02.033,10.1016/j.seppur.2015.02.033,water,2.65,4.1,,4A,LTA-Na,,,,,1.60E-12,m2/s,298,K,,,,,1,bar,Breakthrough curve fitting,source: Table 4,Experimental,Column Dynamics
10.1016_j.micromeso.2022.111910,10.1016/j.micromeso.2022.111910,"1,2-dimethylbenzene",6.8,4.7,,BAS/Cu+-HZSM-5,MFI-Cu,23,Cu+,,,1.60E-12,m2/s,600,K,,,4,molecules/unit cell,,,Molecular Dynamics,,Computational,MD
10.3390_app12136694,10.3390/app12136694,methane,3.8,4.1,,zeolite 5A,LTA-Ca,1,,,,1.60E-12,m2/s,308,K,10,vol%,,,,,ZLC,,Experimental,ZLC
10.1016_j.seppur.2005.05.004,10.1016/j.seppur.2005.05.004,ammonium,2.86,6.5,,M–HCl,MOR,,H+,,,1.61E-12,m2/s,,K,10,mol/L,,,1,bar,batch uptake kinetics (particle diffusion model),particle_size: 0.43–1.0 mm,Experimental,Uptake/Release
10.1016_j.jcat.2008.06.015,10.1016/j.jcat.2008.06.015,(propan-2-yl)benzene,6.8,4.7,,AZ5-3,MFI,11,,,,1.67E-12,m2/s,308,K,,,,,0.0008,bar,Gravimetric uptake (IGA),mode: desorption,Experimental,Uptake/Release
10.1016_j.powtec.2022.118207,10.1016/j.powtec.2022.118207,toluene,5.85,7.4,,Zeolite Y,FAU-NaY,,,,,1.70E-12,m2/s,353,K,0.0001,mol/L,,,,,ZLC,geometry: sphere; radius: 45 μm; diffusion_constant_type: fitted corrected,Experimental,ZLC
10.1016_j.micromeso.2022.111910,10.1016/j.micromeso.2022.111910,"1,2-dimethylbenzene",6.8,4.7,,BAS/Cu+-HZSM-5,MFI-Cu,23,Cu+,,,1.70E-12,m2/s,600,K,,,6,molecules/unit cell,,,Molecular Dynamics,,Computational,MD
10.1016_j.micromeso.2022.111910,10.1016/j.micromeso.2022.111910,"1,2-dimethylbenzene",6.8,4.7,,HZSM-5,MFI-H,23,,,,1.72E-12,m2/s,600,K,,,4,molecules/unit cell,,,Molecular Dynamics,,Computational,MD
10.1016_j.micromeso.2011.12.025,10.1016/j.micromeso.2011.12.025,butane,4.3,4.1,,CaA (Yucel 1),LTA-Ca,1.04,Ca2+,5.46,per pseudo cell,1.73E-12,m2/s,313,K,,,,,,bar,Gravimetric uptake,diffusivity_type: D' (fully dehydrated); water_content: 2.2 mol/cage,Experimental,Uptake/Release
10.1016_j.seppur.2021.119483,10.1016/j.seppur.2021.119483,carbon dioxide,3.3,7.4,,13X (3 um),FAU-NaX,1.09,,,,1.77E-12,m2/s,298,K,,,0.1,mol/kg,0.1,bar,gas breakthrough experiment and LDF model fitting,flow_rate: 0.25 L/min,Experimental,Column Dynamics
10.1016_j.micromeso.2022.111910,10.1016/j.micromeso.2022.111910,"1,2-dimethylbenzene",6.8,4.7,,HZSM-5,MFI-H,23,,,,1.77E-12,m2/s,600,K,,,2,molecules/unit cell,,,Molecular Dynamics,,Computational,MD
10.1016_j.ces.2022.117733,10.1016/j.ces.2022.117733,stilbene,7,7.4,,Zeolite Y,FAU-NaY,,,,,1.80E-12,m2/s,353,K,0.0001,mol/L,,,,,ZLC,particle_size: 90 μm; correction: raw,Experimental,ZLC
10.1016_j.seppur.2015.02.033,10.1016/j.seppur.2015.02.033,water,2.65,4.1,,3A,LTA-K,,,,,1.80E-12,m2/s,298,K,1465,mol/L,,,1,bar,Breakthrough curve fitting,,Experimental,Column Dynamics
apj.412,,butanol,5,3.1,,natural clinoptilolite,HEU,,,,,1.80E-12,m2/s,293,K,,,1.03,mmol/g,0.005546195,bar,gravimetric uptake (constant pressure static),particle_size: 2.125 mm; coefficient_type: apparent particle diffusivity,Experimental,Uptake/Release
